creator,creatorLabel,linkcount
http://www.wikidata.org/entity/Q188965,Madame de Pompadour,63
http://www.wikidata.org/entity/Q181995,Adolphe Sax,63
http://www.wikidata.org/entity/Q62530,Maria Sibylla Merian,63
http://www.wikidata.org/entity/Q191423,Domenico Ghirlandaio,62
http://www.wikidata.org/entity/Q229272,Ernst Ludwig Kirchner,62
http://www.wikidata.org/entity/Q60809,Ansel Adams,62
http://www.wikidata.org/entity/Q44054,Franz Marc,62
http://www.wikidata.org/entity/Q192496,Robert Fulton,61
http://www.wikidata.org/entity/Q148458,Jean-François Millet,60
http://www.wikidata.org/entity/Q40116,Nadar,60
http://www.wikidata.org/entity/Q5827,Pietro Perugino,60
http://www.wikidata.org/entity/Q159297,John Constable,60
http://www.wikidata.org/entity/Q17169,Giovanni Bellini,60
http://www.wikidata.org/entity/Q178516,Gucci,60
http://www.wikidata.org/entity/Q186202,Giovanni Battista Tiepolo,59
http://www.wikidata.org/entity/Q203643,James Abbott McNeill Whistler,59
http://www.wikidata.org/entity/Q151097,Henry Moore,59
http://www.wikidata.org/entity/Q68631,Rogier van der Weyden,59
http://www.wikidata.org/entity/Q151152,Juan Gris,59
http://www.wikidata.org/entity/Q483992,William-Adolphe Bouguereau,59
http://www.wikidata.org/entity/Q182011,Antonio Stradivari,59
http://www.wikidata.org/entity/Q151573,Paul Signac,58
http://www.wikidata.org/entity/Q187506,Honoré Daumier,58
http://www.wikidata.org/entity/Q15792,Duccio di Buoninsegna,58
http://www.wikidata.org/entity/Q154340,Francis Bacon,58
http://www.wikidata.org/entity/Q155626,John Singer Sargent,57
http://www.wikidata.org/entity/Q157321,Francis Picabia,57
http://www.wikidata.org/entity/Q213163,Élisabeth Louise Vigée Le Brun,57
http://www.wikidata.org/entity/Q298703,E. E. Cummings,57
http://www.wikidata.org/entity/Q218115,Chanel,56
http://www.wikidata.org/entity/Q19133,Qianlong Emperor,56
http://www.wikidata.org/entity/Q191748,Lucas Cranach the Elder,56
http://www.wikidata.org/entity/Q76738,Athanasius Kircher,56
http://www.wikidata.org/entity/Q5571,Andrea del Sarto,56
http://www.wikidata.org/entity/Q156622,Giorgio de Chirico,56
http://www.wikidata.org/entity/Q157194,Alberto Giacometti,56
http://www.wikidata.org/entity/Q153739,Jean Arp,56
http://www.wikidata.org/entity/Q151679,Roy Lichtenstein,56
http://www.wikidata.org/entity/Q5547,Antonio Canova,56
http://www.wikidata.org/entity/Q191485,Louis Vuitton,55
http://www.wikidata.org/entity/Q180932,François Boucher,55
http://www.wikidata.org/entity/Q7803,Bronzino,55
http://www.wikidata.org/entity/Q153048,Constantin Brâncuși,55
http://www.wikidata.org/entity/Q154448,Victor Vasarely,55
http://www.wikidata.org/entity/Q192488,Paolo Uccello,55
http://www.wikidata.org/entity/Q212499,Jean-Léon Gérôme,54
http://www.wikidata.org/entity/Q230673,Dorothea Lange,54
http://www.wikidata.org/entity/Q5594,Antonello da Messina,54
http://www.wikidata.org/entity/Q189762,Peter Carl Fabergé,53
http://www.wikidata.org/entity/Q127171,Jean-Honoré Fragonard,52
http://www.wikidata.org/entity/Q159606,John Everett Millais,52
http://www.wikidata.org/entity/Q8457,Antonio da Correggio,52
http://www.wikidata.org/entity/Q153104,Otto Dix,52
