Q82941,São Paulo Museum of Art
Q43655709,Aartsbisschoppelijk Museum
Q5476145,Museu d'Art Jaume Morera
Q731126,J. Paul Getty Museum
Q165631,Gemäldegalerie
Q2074027,Samuel H. Kress Collection
Q24238356,unknown
Q2173225,Collectie Vlaamse Gemeenschap
Q49135,Isabella Stewart Gardner Museum
Q1236032,Condé Museum
Q74018084,Tallinn City Museum's art collection
Q2420849,Hispanic Society of America
Q1368166,San Diego Museum of Art
Q1362629,National Museum of Western Art
Q73905821,Estonian History Museum's visual arts collection
Q6877320,Oslo Museum
Q1535963,Musée des Beaux-Arts de Strasbourg
Q212459,National Museum of Ancient Art
Q2893370,Beaux-Arts Mons
Q1540707,S.M.A.K. - Stedelijk Museum voor Actuele Kunst
Q211043,Russian Museum
Q6129019,Mildred Lane Kemper Art Museum
Q1782422,Van Abbemuseum
Q12766245,Miloš Alexander Bazovský Gallery
Q1032442,Canadian War Museum
Q474563,Teylers Museum
Q74016754,Museum of Viljandi's art collection
Q224124,Van Gogh Museum
